test_case,model,version,timestamp,processing_time,reasoning_overall,reasoning_demographics,reasoning_psychological_characteristics,reasoning_behavioral_characteristics,reasoning_geographic_behavior,reasoning_skills_and_knowledge,reasoning_investigative_implications,reasoning_key_identifiers,reasoning_framework_narrative_action_system,reasoning_framework_sexual_behavioral_analysis,reasoning_framework_spatial_behavioral_analysis,reasoning_framework_sexual_homicide_pathways_analysis,reasoning_frameworks_total,avg_framework_confidence,framework_confidence_narrative_action_system,framework_confidence_sexual_behavioral_analysis,framework_confidence_spatial_behavioral_analysis,framework_confidence_sexual_homicide_pathways_analysis,framework_completeness_narrative_action_system,framework_completeness_sexual_behavioral_analysis,framework_completeness_spatial_behavioral_analysis,framework_completeness_sexual_homicide_pathways_analysis,framework_accuracy_narrative_action_system,framework_accuracy_spatial_behavioral_analysis,framework_accuracy_sexual_behavioral_analysis,framework_accuracy_sexual_homicide_pathways_analysis
mad-bomber,o3-mini,latest,2025-03-14T15:44:43.187874,33.78353810310364,3,3,3,3,2,2,2,2,1,0,1,0,2,0.8500000000000001,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
mad-bomber,Gemma-3,latest,2025-03-14T15:44:43.187874,100.74212670326233,4,5,4,3,3,3,3,2,1,1,1,1,4,0.775,0.9,0.65,0.8,0.75,0.8,1.0,0.8,0.8,1.0,1.0,0.0,0.0
unabomber,Gemma-3,latest,2025-03-15T00:33:23.261545,99.2721848487854,4,3,3,3,2,2,2,2,1,0,1,1,3,0.7,0.85,0.0,0.65,0.6,1.0,0.0,1.0,0.8,0.0,1.0,0.0,0.0
robert-napper-rachel-nickell,Gemma-3,latest,2025-03-15T00:33:38.204964,114.21460390090942,3,2,3,3,2,2,2,1,1,1,1,1,4,0.7,0.7,0.6,0.75,0.75,1.0,1.0,1.0,0.8,1.0,0.0,0.0,1.0
ted-bundy-lake,Gemma-3,latest,2025-03-15T00:33:40.872916,116.88355565071106,4,4,4,3,3,3,3,3,1,1,1,1,4,0.75,0.6,0.7,0.9,0.8,1.0,1.0,1.0,0.8,0.0,0.0,0.0,1.0
ted-bundy-lake,o3-mini,latest,2025-03-14T15:44:58.784326,49.374470710754395,4,2,2,2,2,2,2,2,1,1,1,1,4,0.8125,0.85,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
mad-bomber,GPT-4.5-Preview,latest,2025-03-14T15:48:19.933538,250.53020215034485,1,3,2,2,1,1,1,1,1,0,1,0,2,0.925,0.95,0.0,0.9,0.0,0.8,0.0,0.8,0.0,1.0,1.0,0.0,0.0
ted-bundy-lake,GPT-4.5-Preview,latest,2025-03-14T15:48:24.395020,254.99066376686096,1,2,2,1,2,1,2,1,1,1,1,1,4,0.8125,0.8,0.85,0.9,0.7,0.8,0.8,0.8,0.8,0.0,1.0,0.0,0.0
mad-bomber,o3-mini-high,latest,2025-03-14T15:49:28.494394,68.55878806114197,4,3,2,2,2,2,2,2,1,0,1,0,2,0.875,0.9,0.0,0.85,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
ted-bundy-lake,GPT-4o,latest,2025-03-14T15:49:32.538195,68.141286611557,3,4,3,3,3,3,3,2,2,1,2,1,6,0.8,0.85,0.75,0.9,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
mad-bomber,GPT-4o,latest,2025-03-14T15:49:39.268721,79.33310341835022,2,3,3,3,2,2,2,2,1,0,1,0,2,0.8999999999999999,0.95,0.0,0.85,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ted-bundy-lake,o3-mini-high,latest,2025-03-14T15:49:47.351953,82.95593190193176,5,3,2,2,2,2,2,2,1,1,1,1,4,0.8,0.8,0.8,0.75,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
mad-bomber,GPT-4o-mini,latest,2025-03-14T15:50:07.847793,28.57807183265686,3,3,3,3,3,3,3,3,2,2,2,0,6,0.85,0.85,0.8,0.9,0.0,0.8,0.8,0.8,0.0,1.0,1.0,0.0,0.0
mad-bomber,Claude-3.7-Sonnet,latest,2025-03-14T15:51:17.474670,69.62587380409241,8,6,6,6,4,6,6,6,4,0,5,0,9,0.875,0.9,0.0,0.85,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
ted-bundy-lake,GPT-4o-mini,latest,2025-03-14T15:51:28.437574,101.08362221717834,2,2,2,2,2,2,2,2,1,1,1,1,4,0.8,0.85,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.0,1.0,0.0,0.0
mad-bomber,Claude-3.7-Sonnet-Thinking,latest,2025-03-14T15:51:46.530639,98.68084740638733,8,6,6,6,5,6,6,6,5,0,5,0,10,0.875,0.9,0.0,0.85,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ted-bundy-lake,Claude-3.7-Sonnet,latest,2025-03-14T15:52:42.749621,74.3100163936615,7,5,6,6,4,5,5,5,5,5,5,5,20,0.8375,0.85,0.9,0.75,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
